,code,tradeStatus,code_name,isIndex,isSt
681,sh.600568,1,中珠医疗,False,False
682,sh.600569,1,安阳钢铁,False,False
683,sh.600570,1,恒生电子,False,False
684,sh.600571,1,信雅达,False,False
685,sh.600572,1,康恩贝,False,False
686,sh.600573,1,惠泉啤酒,False,False
687,sh.600575,1,淮河能源,False,False
688,sh.600576,1,祥源文化,False,False
689,sh.600577,1,精达股份,False,False
690,sh.600578,1,京能电力,False,False
691,sh.600579,1,克劳斯,False,False
692,sh.600580,1,卧龙电驱,False,False
693,sh.600581,1,八一钢铁,False,False
694,sh.600582,1,天地科技,False,False
695,sh.600583,1,海油工程,False,False
696,sh.600584,1,长电科技,False,False
697,sh.600585,1,海螺水泥,False,False
698,sh.600586,1,金晶科技,False,False
699,sh.600587,1,新华医疗,False,False
700,sh.600588,1,用友网络,False,False
701,sh.600589,1,广东榕泰,False,False
702,sh.600590,1,泰豪科技,False,False
703,sh.600592,1,龙溪股份,False,False
704,sh.600593,1,大连圣亚,False,False
705,sh.600594,1,益佰制药,False,False
707,sh.600596,1,新安股份,False,False
708,sh.600597,1,光明乳业,False,False
709,sh.600598,1,北大荒,False,False
710,sh.600599,1,熊猫金控,False,False
711,sh.600600,1,青岛啤酒,False,False
712,sh.600601,1,方正科技,False,False
713,sh.600602,1,云赛智联,False,False
714,sh.600603,1,广汇物流,False,False
715,sh.600604,1,市北高新,False,False
716,sh.600605,1,汇通能源,False,False
717,sh.600606,1,绿地控股,False,False
719,sh.600609,1,金杯汽车,False,False
721,sh.600611,1,大众交通,False,False
722,sh.600612,1,老凤祥,False,False
723,sh.600613,1,神奇制药,False,False
725,sh.600615,1,丰华股份,False,False
726,sh.600616,1,金枫酒业,False,False
727,sh.600617,1,国新能源,False,False
728,sh.600618,1,氯碱化工,False,False
729,sh.600619,1,海立股份,False,False
730,sh.600620,1,天宸股份,False,False
731,sh.600621,1,华鑫股份,False,False
732,sh.600622,1,光大嘉宝,False,False
733,sh.600623,1,华谊集团,False,False
734,sh.600624,1,复旦复华,False,False
735,sh.600626,1,申达股份,False,False
736,sh.600628,1,新世界,False,False
737,sh.600629,1,华建集团,False,False
738,sh.600630,1,龙头股份,False,False
739,sh.600633,1,浙数文化,False,False
741,sh.600635,1,大众公用,False,False
742,sh.600636,1,三爱富,False,False
743,sh.600637,1,东方明珠,False,False
744,sh.600638,1,新黄浦,False,False
745,sh.600639,1,浦东金桥,False,False
746,sh.600640,1,号百控股,False,False
747,sh.600641,1,万业企业,False,False
748,sh.600642,1,申能股份,False,False
749,sh.600643,1,爱建集团,False,False
750,sh.600644,1,乐山电力,False,False
751,sh.600645,1,中源协和,False,False
752,sh.600647,1,同达创业,False,False
753,sh.600648,1,外高桥,False,False
754,sh.600649,1,城投控股,False,False
755,sh.600650,1,锦江投资,False,False
756,sh.600651,1,飞乐音响,False,False
758,sh.600653,1,申华控股,False,False
760,sh.600655,1,豫园股份,False,False
761,sh.600657,1,信达地产,False,False
762,sh.600658,1,电子城,False,False
763,sh.600660,1,福耀玻璃,False,False
764,sh.600661,1,昂立教育,False,False
765,sh.600662,1,强生控股,False,False
766,sh.600663,1,陆家嘴,False,False
767,sh.600664,1,哈药股份,False,False
768,sh.600665,1,天地源,False,False
770,sh.600667,1,太极实业,False,False
771,sh.600668,1,尖峰集团,False,False
772,sh.600671,1,天目药业,False,False
773,sh.600673,1,东阳光,False,False
774,sh.600674,1,川投能源,False,False
775,sh.600675,1,中华企业,False,False
776,sh.600676,1,交运股份,False,False
778,sh.600678,1,四川金顶,False,False
779,sh.600679,1,上海凤凰,False,False
780,sh.600681,1,百川能源,False,False
781,sh.600682,1,南京新百,False,False
782,sh.600683,1,京投发展,False,False
783,sh.600684,1,珠江实业,False,False
784,sh.600685,1,中船防务,False,False
785,sh.600686,1,金龙汽车,False,False
787,sh.600688,1,上海石化,False,False
788,sh.600689,1,上海三毛,False,False
789,sh.600690,1,海尔智家,False,False
790,sh.600691,1,阳煤化工,False,False
791,sh.600692,1,亚通股份,False,False
792,sh.600693,1,东百集团,False,False
793,sh.600694,1,大商股份,False,False
794,sh.600695,1,绿庭投资,False,False
796,sh.600697,1,欧亚集团,False,False
798,sh.600699,1,均胜电子,False,False
800,sh.600702,1,舍得酒业,False,False
801,sh.600703,1,三安光电,False,False
802,sh.600704,1,物产中大,False,False
803,sh.600705,1,中航资本,False,False
804,sh.600706,1,曲江文旅,False,False
805,sh.600707,1,彩虹股份,False,False
806,sh.600708,1,光明地产,False,False
807,sh.600710,1,苏美达,False,False
808,sh.600711,1,盛屯矿业,False,False
809,sh.600712,1,南宁百货,False,False
810,sh.600713,1,南京医药,False,False
811,sh.600714,1,金瑞矿业,False,False
812,sh.600715,1,文投控股,False,False
813,sh.600716,1,凤凰股份,False,False
814,sh.600717,1,天津港,False,False
815,sh.600718,1,东软集团,False,False
816,sh.600719,1,大连热电,False,False
817,sh.600720,1,祁连山,False,False
819,sh.600722,1,金牛化工,False,False
820,sh.600723,1,首商股份,False,False
821,sh.600724,1,宁波富达,False,False
824,sh.600727,1,鲁北化工,False,False
825,sh.600728,1,佳都科技,False,False
826,sh.600729,1,重庆百货,False,False
827,sh.600730,1,中国高科,False,False
828,sh.600731,1,湖南海利,False,False
830,sh.600733,1,北汽蓝谷,False,False
831,sh.600734,1,实达集团,False,False
832,sh.600735,1,新华锦,False,False
833,sh.600736,1,苏州高新,False,False
834,sh.600737,1,中粮糖业,False,False
835,sh.600738,1,兰州民百,False,False
836,sh.600739,1,辽宁成大,False,False
837,sh.600740,1,山西焦化,False,False
838,sh.600741,1,华域汽车,False,False
839,sh.600742,1,一汽富维,False,False
840,sh.600743,1,华远地产,False,False
841,sh.600744,1,华银电力,False,False
842,sh.600745,1,闻泰科技,False,False
843,sh.600746,1,江苏索普,False,False
844,sh.600748,1,上实发展,False,False
845,sh.600749,1,西藏旅游,False,False
846,sh.600750,1,江中药业,False,False
847,sh.600751,1,海航科技,False,False
848,sh.600753,1,东方银星,False,False
849,sh.600754,1,锦江酒店,False,False
850,sh.600755,1,厦门国贸,False,False
851,sh.600756,1,浪潮软件,False,False
852,sh.600757,1,长江传媒,False,False
853,sh.600758,1,红阳能源,False,False
854,sh.600759,1,洲际油气,False,False
855,sh.600760,1,中航沈飞,False,False
856,sh.600761,1,安徽合力,False,False
857,sh.600763,1,通策医疗,False,False
858,sh.600764,1,中国海防,False,False
859,sh.600765,1,中航重机,False,False
860,sh.600766,1,园城黄金,False,False
862,sh.600768,1,宁波富邦,False,False
863,sh.600769,1,祥龙电业,False,False
864,sh.600770,1,综艺股份,False,False
865,sh.600771,1,广誉远,False,False
866,sh.600773,1,西藏城投,False,False
867,sh.600774,1,汉商集团,False,False
868,sh.600775,1,南京熊猫,False,False
869,sh.600776,1,东方通信,False,False
870,sh.600777,1,新潮能源,False,False
871,sh.600778,1,友好集团,False,False
872,sh.600779,1,水井坊,False,False
873,sh.600780,1,通宝能源,False,False
875,sh.600782,1,新钢股份,False,False
876,sh.600783,1,鲁信创投,False,False
877,sh.600784,1,鲁银投资,False,False
878,sh.600785,1,新华百货,False,False
879,sh.600787,1,中储股份,False,False
880,sh.600789,1,鲁抗医药,False,False
881,sh.600790,1,轻纺城,False,False
882,sh.600791,1,京能置业,False,False
883,sh.600792,1,云煤能源,False,False
884,sh.600793,1,宜宾纸业,False,False
885,sh.600794,1,保税科技,False,False
886,sh.600795,1,国电电力,False,False
